names,prices,ranks,ages,countries,clubs,current_matches,goals,own_goals,assists,yellow_cards,second_yellow_cards,red_cards,sub_on,sub_off
Erling Haaland,€170.00m,1,22,Norway,Manchester City,24,29,0,4,2,0,0,1,12
Kylian Mbappé,€160.00m,2,23,France,Paris Saint-Germain,25,21,0,5,2,0,0,2,9
Vinicius Junior,€120.00m,3,22,Brazil,Real Madrid,23,10,0,5,3,0,0,2,9
Phil Foden,€110.00m,4,22,England,Manchester City,23,8,0,3,2,0,0,7,9
Pedri,€100.00m,5,19,Spain,FC Barcelona,21,3,0,0,0,0,0,3,9
Jude Bellingham,€100.00m,6,19,England,Borussia Dortmund,27,9,0,4,4,0,0,2,2
Jamal Musiala,€100.00m,7,19,Germany,Bayern Munich,28,12,0,11,0,0,0,8,17
Federico Valverde,€100.00m,8,24,Uruguay,Real Madrid,22,8,0,4,1,0,0,2,5
Gavi,€90.00m,9,18,Spain,FC Barcelona,26,2,0,1,4,0,0,8,11
Bukayo Saka,€90.00m,10,21,England,Arsenal FC,26,5,0,7,4,0,0,7,13
Harry Kane,€90.00m,11,29,England,Tottenham Hotspur,28,15,0,3,5,0,0,1,4
Rafael Leão,€85.00m,12,23,Portugal,AC Milan,26,7,0,10,3,1,0,5,13
Aurélien Tchouameni,€80.00m,13,22,France,Real Madrid,24,0,0,2,1,0,0,3,9
Rodrygo,€80.00m,14,21,Brazil,Real Madrid,21,7,0,5,1,0,0,6,7
Declan Rice,€80.00m,15,23,England,West Ham United,25,1,0,2,2,0,0,3,2
Rodri,€80.00m,16,26,Spain,Manchester City,24,0,0,4,3,0,0,2,6
Dušan Vlahović,€80.00m,17,22,Serbia,Juventus FC,18,9,0,5,0,0,0,1,8
Christopher Nkunku,€80.00m,18,25,France,RB Leipzig,29,17,0,6,2,0,0,6,4
Bernardo Silva,€80.00m,19,28,Portugal,Manchester City,29,2,0,8,3,0,0,9,8
Joshua Kimmich,€80.00m,20,27,Germany,Bayern Munich,30,5,0,7,7,0,0,2,2
Mohamed Salah,€80.00m,21,30,Egypt,Liverpool FC,23,16,0,6,0,0,0,1,6
Kevin De Bruyne,€80.00m,22,31,Belgium,Manchester City,25,5,0,14,0,0,0,2,12
Antony,€75.00m,23,22,Brazil,Manchester United,16,5,0,2,1,0,0,2,9
Luis Díaz,€75.00m,24,25,Colombia,Liverpool FC,14,4,0,3,2,0,0,1,6
Lautaro Martínez,€75.00m,25,25,Argentina,Inter Milan,23,9,0,7,3,0,0,2,9
Gabriel Jesus,€75.00m,26,25,Brazil,Arsenal FC,20,5,0,7,5,0,0,4,9
Mason Mount,€75.00m,27,23,England,Chelsea FC,26,3,0,6,4,0,0,5,13
Rúben Dias,€75.00m,28,25,Portugal,Manchester City,22,1,0,0,2,0,0,4,2
Bruno Fernandes,€75.00m,29,28,Portugal,Manchester United,27,6,0,4,7,0,0,2,7
Neymar,€75.00m,30,30,Brazil,Paris Saint-Germain,22,16,0,14,8,0,0,2,7
Florian Wirtz,€70.00m,31,19,Germany,Bayer 04 Leverkusen,0,0,0,0,0,0,0,0,0
Darwin Núñez,€70.00m,32,23,Uruguay,Liverpool FC,20,10,0,2,2,0,1,8,8
Reece James,€70.00m,33,22,England,Chelsea FC,16,2,0,3,5,0,0,2,1
Alphonso Davies,€70.00m,34,22,Canada,Bayern Munich,23,3,0,5,0,0,0,1,6
Victor Osimhen,€70.00m,35,23,Nigeria,SSC Napoli,14,10,0,3,2,0,0,2,7
Matthijs de Ligt,€70.00m,36,23,Netherlands,Bayern Munich,21,1,0,0,3,0,0,5,5
Trent Alexander-Arnold,€70.00m,37,24,England,Liverpool FC,21,3,0,0,4,0,0,2,10
Kai Havertz,€70.00m,38,23,Germany,Chelsea FC,26,6,0,1,4,0,0,7,12
Nicolò Barella,€70.00m,39,25,Italy,Inter Milan,24,7,0,6,4,0,0,0,9
Jack Grealish,€70.00m,40,27,England,Manchester City,20,1,0,0,3,0,0,6,9
Leroy Sané,€70.00m,41,26,Germany,Bayern Munich,25,10,0,6,5,0,0,8,10
João Cancelo,€70.00m,42,28,Portugal,Manchester City,26,4,0,6,6,0,1,1,6
Marquinhos,€70.00m,43,28,Brazil,Paris Saint-Germain,23,2,0,0,1,0,0,2,4
Raheem Sterling,€70.00m,44,27,England,Chelsea FC,24,5,0,2,4,0,0,3,14
Heung-min Son,€70.00m,45,30,"Korea, South",Tottenham Hotspur,21,7,0,2,1,0,0,1,10
Wesley Fofana,€65.00m,46,21,France,Chelsea FC,8,1,0,0,1,0,0,0,2
Achraf Hakimi,€65.00m,47,24,Morocco,Paris Saint-Germain,24,3,0,3,3,0,0,3,5
Serge Gnabry,€65.00m,48,27,Germany,Bayern Munich,28,10,0,12,0,0,0,11,10
Leon Goretzka,€65.00m,49,27,Germany,Bayern Munich,22,6,0,4,2,0,0,6,13
Gabriel Martinelli,€60.00m,50,21,Brazil,Arsenal FC,20,5,0,2,2,0,0,3,6
Nuno Mendes,€60.00m,51,20,Portugal,Paris Saint-Germain,21,2,0,4,2,0,0,5,7
Bruno Guimarães,€60.00m,52,25,Brazil,Newcastle United,14,3,0,2,1,0,0,2,7
Khvicha Kvaratskhelia,€60.00m,53,21,Georgia,SSC Napoli,23,13,0,13,0,0,0,1,17
Ronald Araújo,€60.00m,54,23,Uruguay,FC Barcelona,8,0,0,0,3,0,0,0,2
Josko Gvardiol,€60.00m,55,20,Croatia,RB Leipzig,21,1,1,0,0,0,0,6,3
Jules Koundé,€60.00m,56,24,France,FC Barcelona,13,0,0,3,0,0,0,0,7
Éder Militão,€60.00m,57,24,Brazil,Real Madrid,18,3,0,0,2,0,0,2,3
Jadon Sancho,€60.00m,58,22,England,Manchester United,14,3,0,1,0,0,0,2,10
Mikel Oyarzabal,€60.00m,59,25,Spain,Real Sociedad,0,0,0,0,0,0,0,0,0
Federico Chiesa,€60.00m,60,25,Italy,Juventus FC,4,0,0,1,0,0,0,4,0
Martin Ødegaard,€60.00m,61,23,Norway,Arsenal FC,27,6,0,3,4,0,0,4,14
Ousmane Dembélé,€60.00m,62,25,France,FC Barcelona,21,5,0,7,4,0,0,5,13
Sergej Milinković-Savić,€60.00m,63,27,Serbia,SS Lazio,26,6,0,8,8,0,0,5,7
Kingsley Coman,€60.00m,64,26,France,Bayern Munich,17,1,0,5,0,1,0,7,8
Milan Skriniar,€60.00m,65,27,Slovakia,Inter Milan,25,0,1,0,2,0,0,2,4
Sadio Mané,€60.00m,66,30,Senegal,Bayern Munich,25,12,0,4,1,0,0,2,13
Thibaut Courtois,€60.00m,67,30,Belgium,Real Madrid,18,0,0,0,0,0,0,0,0
Cristian Romero,€55.00m,68,24,Argentina,Tottenham Hotspur,14,0,0,0,2,0,0,1,2
Diogo Jota,€55.00m,69,25,Portugal,Liverpool FC,13,1,0,7,1,0,0,6,7
Theo Hernández,€55.00m,70,25,France,AC Milan,20,2,0,4,5,0,0,0,4
Alessandro Bastoni,€55.00m,71,23,Italy,Inter Milan,21,1,0,3,5,0,0,3,8
James Maddison,€55.00m,72,25,England,Leicester City,14,7,0,4,5,0,0,1,2
Marc Cucurella,€55.00m,73,24,Spain,Chelsea FC,18,0,0,2,2,0,0,4,6
Marcus Rashford,€55.00m,74,25,England,Manchester United,19,8,0,3,1,0,0,4,6
Andrew Robertson,€55.00m,75,28,Scotland,Liverpool FC,19,0,0,8,1,0,0,3,7
Fabinho,€55.00m,76,29,Brazil,Liverpool FC,22,0,0,0,2,0,0,5,4
Romelu Lukaku,€55.00m,77,29,Belgium,Inter Milan,6,2,0,1,0,0,0,2,3
David Alaba,€55.00m,78,30,Austria,Real Madrid,26,2,0,3,3,0,0,4,7
Eduardo Camavinga,€50.00m,79,20,France,Real Madrid,21,0,0,0,1,0,0,13,7
William Saliba,€50.00m,80,21,France,Arsenal FC,22,2,1,1,4,0,0,2,3
Lisandro Martínez,€50.00m,81,24,Argentina,Manchester United,24,0,0,0,7,0,0,3,4
Ansu Fati,€50.00m,82,20,Spain,FC Barcelona,21,4,0,3,0,0,0,15,5
João Félix,€50.00m,83,23,Portugal,Atlético de Madrid,20,4,0,3,6,0,0,10,7
Dejan Kulusevski,€50.00m,84,22,Sweden,Tottenham Hotspur,17,2,0,8,5,0,0,5,7
Raphinha,€50.00m,85,25,Brazil,FC Barcelona,20,4,0,6,1,0,0,8,11
Pau Torres,€50.00m,86,25,Spain,Villarreal CF,21,0,0,0,5,0,0,3,0
Sandro Tonali,€50.00m,87,22,Italy,AC Milan,23,1,0,5,7,0,0,3,7
Moussa Diaby,€50.00m,88,23,France,Bayer 04 Leverkusen,25,8,0,4,2,0,0,1,11
Richarlison,€50.00m,89,25,Brazil,Tottenham Hotspur,17,5,0,4,3,0,0,6,8
Alexander Isak,€50.00m,90,23,Sweden,Newcastle United,8,3,0,0,1,0,0,0,7
Dayot Upamecano,€50.00m,91,24,France,Bayern Munich,24,0,1,0,2,0,0,1,6
Mikel Merino,€50.00m,92,26,Spain,Real Sociedad,20,2,0,6,5,0,0,2,8
Frenkie de Jong,€50.00m,93,25,Netherlands,FC Barcelona,22,2,0,2,1,0,0,7,3
Gianluigi Donnarumma,€50.00m,94,23,Italy,Paris Saint-Germain,28,0,0,0,1,0,0,0,0
Fikayo Tomori,€50.00m,95,24,England,AC Milan,21,1,0,0,3,0,1,1,2
Lucas Hernández,€50.00m,96,26,France,Bayern Munich,12,1,0,1,2,0,0,1,5
Virgil van Dijk,€50.00m,97,31,Netherlands,Liverpool FC,24,2,0,0,3,0,0,0,0
Alisson,€50.00m,98,30,Brazil,Liverpool FC,22,0,0,1,0,0,0,0,0
Marco Verratti,€50.00m,99,30,Italy,Paris Saint-Germain,21,0,0,1,10,0,0,0,14
Lionel Messi,€50.00m,100,35,Argentina,Paris Saint-Germain,22,17,0,15,0,0,0,1,7
Casemiro,€50.00m,101,30,Brazil,Manchester United,22,1,0,3,3,0,0,7,5
